timestamp,nbytes,opcode,reg,value,bytes
2026-02-17 20:33:18.188,8,138,28.0,1.0,00 20 8A 00 1C 00 01 81
2026-02-17 20:33:18.703,8,138,41.0,1.0,00 20 8A 00 29 00 01 81
2026-02-17 20:33:19.203,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:19.689,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:20.208,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:20.696,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:21.196,8,138,36.0,1.0,00 20 8A 00 24 00 01 81
2026-02-17 20:33:21.713,8,138,33.0,1.0,00 20 8A 00 21 00 01 81
2026-02-17 20:33:22.209,8,138,41.0,1.0,00 20 8A 00 29 00 01 81
2026-02-17 20:33:22.708,8,138,33.0,1.0,00 20 8A 00 21 00 01 81
2026-02-17 20:33:23.192,8,138,37.0,1.0,00 20 8A 00 25 00 01 81
2026-02-17 20:33:23.712,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:24.199,7,138,34.0,385.0,00 20 8A 00 22 01 81
2026-02-17 20:33:24.699,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:25.215,8,138,28.0,1.0,00 20 8A 00 1C 00 01 81
2026-02-17 20:33:25.713,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:26.201,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:26.705,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:27.205,8,138,35.0,2.0,00 20 8A 00 23 00 02 81
2026-02-17 20:33:27.706,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:28.204,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:28.718,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:29.206,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:29.719,7,138,7168.0,385.0,00 20 8A 1C 00 01 81
2026-02-17 20:33:30.203,8,138,28.0,1.0,00 20 8A 00 1C 00 01 81
2026-02-17 20:33:30.718,7,138,35.0,385.0,00 20 8A 00 23 01 81
